x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
0010100000000000000000000000000000000	PCWP	LVEDVOLUME	TP	NA	575.031	9.71715	1000	565.31385	2	-2	N	+	0.919323015322315
0000000000000000000000000000000110000	VENTALV	ARTCO2	TP	NA	545.931	13.0767	1000	532.8543	2	2	Y	+	0.846327016847462
0000000000000000010000000000000100000	MINVOL	VENTALV	FP	NA	512.506	18.1415	1000	494.3645	2	NA	NA	+	0.688094476497701
0000000000000000000000000000001100000	VENTLUNG	VENTALV	TP	NA	478.899	17.4409	1000	461.4581	2	2	Y	+	0.613749658544553
0000000001010000000000000000000000000	HREKG	HRSAT	FP	NA	464.529	9.59643	1000	454.93257	1	NA	NA	+	0.865895096491083
0000000000000000000100000000000100000	PVSAT	VENTALV	TP	NA	459.793	12.5353	1000	447.2577	-2	-2	Y	+	0.514662865479155
0100100000000000000000000000000000000	CVP	LVEDVOLUME	TP	NA	416.062	9.57061	1000	406.49139	-2	-2	Y	+	0.767648829611913
0000000000000000000110000000000000000	PVSAT	SAO2	TP	NA	404.024	8.51811	1000	395.50589	2	2	Y	+	0.833497446888892
0000000010000000000000000000000000100	HRBP	HR	TP	NA	363.339	8.46934	1000	354.86966	-2	-2	Y	+	0.852181033551139
0000000000010000000000000000000000100	HRSAT	HR	TP	NA	346.479	8.69174	1000	337.78726	-2	-2	Y	+	0.790016791046731
0000000000000010000000000000000000001	TPR	BP	TP	NA	331.936	10.6214	1000	321.3146	2	2	Y	+	0.545605120247653
0000001000000000000000000000000000010	STROKEVOLUME	CO	TP	NA	329.981	9.43905	1000	320.54195	2	2	Y	+	0.210822568998426
0000000000000000000000000000110000000	VENTMACH	VENTTUBE	TP	NA	317.073	16.9087	1000	300.1643	2	2	Y	+	0.619488886896255
0001100000000000000000000000000000000	HYPOVOLEMIA	LVEDVOLUME	TP	NA	276.516	5.18013	1000	271.33587	-2	2	N	+	0.772084071433274
0000000000000000000000000001100000000	MINVOLSET	VENTMACH	TP	NA	278.367	11.4757	1000	266.8913	1	2	Y	+	0.544181842890333
0000000000000000000000000000000000110	HR	CO	TP	NA	230.38	8.90001	1000	221.47999	2	2	Y	+	0.625285120195638
0000000000000000010000000000010000000	MINVOL	VENTTUBE	FP	NA	238.406	17.3894	1000	221.0166	-2	NA	NA	+	0.460401005290009
0000000000110000000000000000000000000	ERRCAUTER	HRSAT	TP	NA	217.559	4.9578	1000	212.6012	2	2	Y	+	0.286353429420812
0000000000000001000000000000001000000	EXPCO2	VENTLUNG	TP	NA	189.442	16.2293	1000	173.2127	-2	-2	Y	+	0.43581333572629
0000000000000000000000000010010000000	DISCONNECT	VENTTUBE	TP	NA	179.289	6.62323	1000	172.66577	2	2	Y	+	0.566407867297775
0000000000000000000000001000000100000	INTUBATION	VENTALV	TP	NA	154.311	11.7537	1000	142.5573	2	2	Y	-	-0.0637936659072815
0000000110000000000000000000000000000	ERRLOWOUTPUT	HRBP	TP	NA	143.973	4.53488	1000	139.43812	2	2	Y	+	0.198905751171818
1000010000000000000000000000000000000	HISTORY	LVFAILURE	TP	NA	134.789	2.1891	1000	132.5999	-2	-2	N	+	0.873886596386521
0000000000000000000000000100010000000	PRESS	VENTTUBE	TP	NA	137.781	18.3768	1000	119.4042	-2	-2	Y	-	-0.209084687378849
0000110000000000000000000000000000000	LVEDVOLUME	LVFAILURE	TP	NA	120.509	4.57018	1000	115.93882	2	-2	N	+	0.145771872792832
0000000000000000000000000000000001100	CATECHOL	HR	TP	NA	120.113	4.31957	1000	115.79343	2	2	Y	+	0.521236368864806
0000000000000000000000011000000000000	SHUNT	INTUBATION	TP	NA	115.601	4.35635	1000	111.24465	-2	-2	Y	+	0.634339236205702
0000000000000000000000000000000000011	CO	BP	TP	NA	119.381	10.3169	1000	109.0641	2	2	Y	+	0.221131156326186
0000101000000000000000000000000000000	LVEDVOLUME	STROKEVOLUME	FP	NA	97.1852	9.20424	1000	87.98096	2	NA	NA	+	0.241648224419495
