x	y	z.name	ui.vect	zi.vect	Ixy_ui	cplx	Rxyz_ui	category	Nxy_ui
0010100000000000000000000000000000000	PCWP	LVEDVOLUME	NA	NA	HISTORY,CVP,HYPOVOLEMIA,LVFAILURE,STROKEVOLUME,SHUNT,CO,BP	575.031	9.71715	0	3	1000
0000000000000000000000000000000110000	VENTALV	ARTCO2	NA	NA	HRBP,HREKG,HRSAT,EXPCO2,MINVOL,PVSAT,SAO2,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,CATECHOL,HR,CO	545.931	13.0767	0	3	1000
0000000000000000010000000000000100000	MINVOL	VENTALV	NA	NA	EXPCO2,PVSAT,SAO2,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,ARTCO2,CATECHOL,HRBP,HREKG,HRSAT,HR	512.506	18.1415	0	3	1000
0000000000000000000000000000001100000	VENTLUNG	VENTALV	NA	NA	HREKG,HRSAT,EXPCO2,MINVOL,PVSAT,SAO2,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,ARTCO2,CATECHOL,HR,CO,HRBP	478.899	17.4409	0	3	1000
0000000001010000000000000000000000000	HREKG	HRSAT	NA	NA	HRBP,ERRCAUTER,TPR,PVSAT,SAO2,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP	464.529	9.59643	0	3	1000
0000000000000000000100000000000100000	PVSAT	VENTALV	NA	NA	HRBP,HREKG,HRSAT,EXPCO2,MINVOL,FIO2,SAO2,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,ARTCO2,CATECHOL,HR,CO,SHUNT	459.793	12.5353	0	3	1000
0100100000000000000000000000000000000	CVP	LVEDVOLUME	NA	NA	HISTORY,PCWP,HYPOVOLEMIA,LVFAILURE,STROKEVOLUME,PAP,CO,BP	416.062	9.57061	0	3	1000
0000000000000000000110000000000000000	PVSAT	SAO2	NA	NA	HRBP,HREKG,HRSAT,EXPCO2,MINVOL,FIO2,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,SHUNT	404.024	8.51811	0	3	1000
0000000010000000000000000000000000100	HRBP	HR	NA	NA	ERRLOWOUTPUT,HREKG,HRSAT,TPR,PVSAT,SAO2,VENTALV,ARTCO2,CATECHOL,CO,BP,VENTMACH,VENTLUNG	363.339	8.46934	0	3	1000
0000000000010000000000000000000000100	HRSAT	HR	NA	NA	HRBP,HREKG,ERRCAUTER,TPR,PVSAT,SAO2,VENTLUNG,VENTALV,ARTCO2,CATECHOL,CO,BP,VENTMACH	346.479	8.69174	0	3	1000
